Data-Locale,Material ID,Product hierarchy,EAN,Unit,Name,Description
de,100101000001,10010100,4001234500001,PCE,Eco Flow Axialpumpe AX 200,"<p>Unsere leistungsstarke Axialpumpe AX 200 ist für hohe Volumenströme in Wasser- und Abwasseranwendungen bei geringen Förderhöhen konzipiert. Die robuste Konstruktion zeichnet sich durch hohe Langlebigkeit sowie eine kostengünstige Installation und Wartung aus.</p><h3>Einfache Installation</h3><p>Die Axialpumpe AX 200 wird durch einfaches Einlassen in vertikale Rohrschächte installiert. Der eigens entwickelte Dichtring schließt flächenbündig mit dem Flansch des Schachtrohres ab. In den meisten Anwendungsfällen ist keine zusätzliche mechanische Sicherung erforderlich, um die Dichtigkeit zum Pumpensumpf herzustellen. Optional ist eine mechanische Verbindung möglich.</p><h3>Anwendungsgebiete</h3><ul><li>Pumpenwerke für Schmutzwasser (Starkregen, Hochwasser)</li><li>Nutzwasserwerke</li><li>Abwasserförderung</li><li>Förderung ölhaltigen Wassers</li></ul>"
en,100101000001,10010100,4001234500001,PCE,Eco Flow axial flow pump AX 200,"<p>Our high-performance AX 200 axial flow pump is designed for high flow rates in water and wastewater applications with low heads. The robust design ensures long service life as well as cost-efficient installation and maintenance.</p><h3>Easy installation</h3><p>The AX 200 axial flow pump is installed by simply lowering it into vertical pipe shafts. The specially developed sealing ring closes flush with the flange of the shaft pipe. In most applications, no additional mechanical fixing is required to achieve tightness to the pump sump, but a mechanical connection can be provided as an option.</p><h3>Applications</h3><ul><li>Pumping stations for wastewater (stormwater, floodwater)</li><li>Utility water plants</li><li>Wastewater transport</li><li>Pumping of oil-containing water</li></ul>"
es,100101000001,10010100,4001234500001,PCE,Eco Flow Axialpumpe AX 200,"<p>Our high-performance AX 200 axial flow pump is designed for high flow rates in water and wastewater applications with low heads. The robust design ensures long service life as well as cost-efficient installation and maintenance.</p><h3>Easy installation</h3><p>The AX 200 axial flow pump is installed by simply lowering it into vertical pipe shafts. The specially developed sealing ring closes flush with the flange of the shaft pipe. In most applications, no additional mechanical fixing is required to achieve tightness to the pump sump, but a mechanical connection can be provided as an option.</p><h3>Applications</h3><ul><li>Pumping stations for wastewater (stormwater, floodwater)</li><li>Utility water plants</li><li>Wastewater transport</li><li>Pumping of oil-containing water</li></ul>"
ja,100101000001,10010100,4001234500001,PCE,Eco Flow 軸流ポンプ AX 200,"<p>Our high-performance AX 200 axial flow pump is designed for high flow rates in water and wastewater applications with low heads. The robust design ensures long service life as well as cost-efficient installation and maintenance.</p><h3>Easy installation</h3><p>The AX 200 axial flow pump is installed by simply lowering it into vertical pipe shafts. The specially developed sealing ring closes flush with the flange of the shaft pipe. In most applications, no additional mechanical fixing is required to achieve tightness to the pump sump, but a mechanical connection can be provided as an option.</p><h3>Applications</h3><ul><li>Pumping stations for wastewater (stormwater, floodwater)</li><li>Utility water plants</li><li>Wastewater transport</li><li>Pumping of oil-containing water</li></ul>"
pt,100101000001,10010100,4001234500001,PCE,Eco Flow Bomba de fluxo axial AX 200,"<p>Our high-performance AX 200 axial flow pump is designed for high flow rates in water and wastewater applications with low heads. The robust design ensures long service life as well as cost-efficient installation and maintenance.</p><h3>Easy installation</h3><p>The AX 200 axial flow pump is installed by simply lowering it into vertical pipe shafts. The specially developed sealing ring closes flush with the flange of the shaft pipe. In most applications, no additional mechanical fixing is required to achieve tightness to the pump sump, but a mechanical connection can be provided as an option.</p><h3>Applications</h3><ul><li>Pumping stations for wastewater (stormwater, floodwater)</li><li>Utility water plants</li><li>Wastewater transport</li><li>Pumping of oil-containing water</li></ul>"
zh,100101000001,10010100,4001234500001,PCE,Eco Flow 轴流泵 AX 200,"<p>Our high-performance AX 200 axial flow pump is designed for high flow rates in water and wastewater applications with low heads. The robust design ensures long service life as well as cost-efficient installation and maintenance.</p><h3>Easy installation</h3><p>The AX 200 axial flow pump is installed by simply lowering it into vertical pipe shafts. The specially developed sealing ring closes flush with the flange of the shaft pipe. In most applications, no additional mechanical fixing is required to achieve tightness to the pump sump, but a mechanical connection can be provided as an option.</p><h3>Applications</h3><ul><li>Pumping stations for wastewater (stormwater, floodwater)</li><li>Utility water plants</li><li>Wastewater transport</li><li>Pumping of oil-containing water</li></ul>"
de,100101000002,10010100,4001234500002,PCE,Eco Flow Axialpumpe AX 400,"<p>Unsere Axialpumpe AX 400 wurde für höchste Volumenströme in Wasser- und Abwasseranwendungen konzipiert, bei denen große Fördermengen bei moderater Förderhöhe gefordert sind. Die robuste Konstruktion bietet hohe Betriebssicherheit, lange Lebensdauer und eine besonders wirtschaftliche Installation und Wartung.</p><h3>Einfache Installation</h3><p>Die Axialpumpe AX 400 wird durch Einlassen in vertikale Rohrschächte installiert. Der speziell ausgelegte Dichtring schließt flächenbündig mit dem Flansch des Schachtrohres ab und sorgt für eine zuverlässige Abdichtung zum Pumpensumpf. In vielen Anwendungen ist keine zusätzliche mechanische Sicherung erforderlich, kann aber optional vorgesehen werden.</p><h3>Anwendungsgebiete</h3><ul><li>Hochwasser- und Starkregenpumpwerke</li><li>Nutz- und Kühlwasserförderung</li><li>Abwasser- und Mischwasserförderung</li><li>Förderung leicht verschmutzter und sandhaltiger Medien</li></ul>"
en,100101000002,10010100,4001234500002,PCE,Eco Flow axial flow pump AX 400,"<p>Our AX 400 axial flow pump is designed for very high flow rates in water and wastewater applications where large volumes are required at moderate heads. The robust construction offers high operational reliability, long service life and particularly economical installation and maintenance.</p><h3>Easy installation</h3><p>The AX 400 axial flow pump is installed by lowering it into vertical pipe shafts. The specially designed sealing ring closes flush with the flange of the shaft pipe and ensures reliable sealing towards the pump sump. In many applications no additional mechanical fixing is required, but it can be provided as an option.</p><h3>Applications</h3><ul><li>Flood and stormwater pumping stations</li><li>Service and cooling water pumping</li><li>Wastewater and mixed water transport</li><li>Pumping of slightly contaminated and sandy media</li></ul>"
es,100101000002,10010100,4001234500002,PCE,Bomba de flujo axial Eco Flow AX 400,"<p>Our AX 400 axial flow pump is designed for very high flow rates in water and wastewater applications where large volumes are required at moderate heads. The robust construction offers high operational reliability, long service life and particularly economical installation and maintenance.</p><h3>Easy installation</h3><p>The AX 400 axial flow pump is installed by lowering it into vertical pipe shafts. The specially designed sealing ring closes flush with the flange of the shaft pipe and ensures reliable sealing towards the pump sump. In many applications no additional mechanical fixing is required, but it can be provided as an option.</p><h3>Applications</h3><ul><li>Flood and stormwater pumping stations</li><li>Service and cooling water pumping</li><li>Wastewater and mixed water transport</li><li>Pumping of slightly contaminated and sandy media</li></ul>"
ja,100101000002,10010100,4001234500002,PCE,Eco Flow 軸流ポンプ AX 400,"<p>Our AX 400 axial flow pump is designed for very high flow rates in water and wastewater applications where large volumes are required at moderate heads. The robust construction offers high operational reliability, long service life and particularly economical installation and maintenance.</p><h3>Easy installation</h3><p>The AX 400 axial flow pump is installed by lowering it into vertical pipe shafts. The specially designed sealing ring closes flush with the flange of the shaft pipe and ensures reliable sealing towards the pump sump. In many applications no additional mechanical fixing is required, but it can be provided as an option.</p><h3>Applications</h3><ul><li>Flood and stormwater pumping stations</li><li>Service and cooling water pumping</li><li>Wastewater and mixed water transport</li><li>Pumping of slightly contaminated and sandy media</li></ul>"
