ID,Title DE,Title EN,Short DE,Short EN,Description DE,Description EN,Media DE,Media EN,Valid From,Valid To,URL
PUMP_NEWS_001,Neue Pumpenserie verfügbar,New pump series available,Mehr Effizienz für tägliche Anwendungen.,More efficiency for daily applications.,"Unsere neue Pumpenserie bietet optimierte Leistung, zuverlässige Förderung und eine verbesserte Energieeffizienz für den täglichen Einsatz.","Our new pump series offers optimized performance, reliable flow and improved energy efficiency for daily use.","","",01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_002,Predictive Maintenance live,Predictive maintenance is live,Sensoren melden Wartungsbedarf frühzeitig.,Sensors report maintenance needs early.,"Mit der neuen Predictive-Maintenance-Funktion können Wartungsbedarfe früher erkannt und ungeplante Stillstände reduziert werden.","With the new predictive maintenance feature, maintenance needs can be detected earlier and unplanned downtime can be reduced.","","",01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_003,Smart Pump Monitoring,Smart pump monitoring,Alle Kennzahlen direkt im Portal.,All key metrics directly in the portal.,"Das neue Monitoring zeigt relevante Pumpendaten übersichtlich im Portal an und unterstützt bei der schnellen Bewertung des Betriebszustands.","The new monitoring displays relevant pump data clearly in the portal and helps users quickly assess the operating status.","","",01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_004,Ersatzteile schneller finden,Find spare parts faster,Passende Komponenten auf einen Blick.,Matching components at a glance.,"Die Ersatzteilsuche wurde verbessert. Passende Komponenten können jetzt schneller gefunden und gezielter ausgewählt werden.","The spare parts search has been improved. Matching components can now be found faster and selected more precisely.","","",01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_005,Energieverbrauch reduziert,Energy consumption reduced,Neue Einstellungen senken Betriebskosten.,New settings reduce operating costs.,"Durch optimierte Pumpeneinstellungen lässt sich der Energieverbrauch im Betrieb reduzieren, ohne die Zuverlässigkeit zu beeinträchtigen.","Optimized pump settings can reduce energy consumption during operation without affecting reliability.","","",01.06.2026 00:00:00,31.12.2026 23:59:59,
PUMP_NEWS_006,Service Requests verbessert,Service requests improved,Tickets schneller erfassen und verfolgen.,Create and track tickets faster.,"Die Service-Request-Übersicht wurde erweitert. Neue Filter und klarere Statusinformationen erleichtern die tägliche Arbeit.","The service request overview has been extended. New filters and clearer status information make daily work easier.",cxNewsPump006,cxNewsPump006,01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_007,Montagehinweise aktualisiert,Installation notes updated,Neue Anleitung für sichere Installation.,New guide for safe installation.,"Die Montagehinweise für ausgewählte Pumpen wurden aktualisiert und enthalten nun zusätzliche Empfehlungen für die sichere Inbetriebnahme.","The installation notes for selected pumps have been updated and now include additional recommendations for safe commissioning.",cxNewsPump007,cxNewsPump007,01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_008,Dosierpumpen präziser einstellen,Set dosing pumps more precisely,Mehr Kontrolle bei sensiblen Medien.,More control for sensitive media.,"Neue Hinweise zur Einstellung von Dosierpumpen helfen dabei, sensible Medien präziser und zuverlässiger zu fördern.","New guidance for configuring dosing pumps helps convey sensitive media more precisely and reliably.",cxNewsPump008,cxNewsPump008,01.06.2026 00:00:00,31.12.2026 23:59:59,
PUMP_NEWS_009,Drehkolbenpumpen im Fokus,Rotary lobe pumps in focus,Robuste Förderung für anspruchsvolle Einsätze.,Robust conveyance for demanding use cases.,"Drehkolbenpumpen eignen sich besonders für anspruchsvolle Anwendungen und bieten eine schonende, zuverlässige Förderung.","Rotary lobe pumps are particularly suitable for demanding applications and provide gentle, reliable conveyance.",cxNewsPump009,cxNewsPump009,01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
PUMP_NEWS_010,Pumpen-Training verfügbar,Pump training available,Kurze Lerninhalte für Betrieb und Service.,Short learning content for operation and service.,"Neue Trainingsinhalte unterstützen beim Betrieb, bei der Wartung und bei der Fehleranalyse von Pumpensystemen.","New training content supports operation, maintenance and troubleshooting of pump systems.",cxNewsPump010,cxNewsPump010,01.06.2026 00:00:00,31.12.2026 23:59:59,https://www.arineo.com
